vBestLabels1,vBestLabels2,vBestLabels3,vBestLabels4,vBestLabels5,vBestLabels6,vBestLabels7
11988,0.201920629353497,10,Polygon,KernelPCA,minkowski,ward
11989,0.201858951168154,20,Histogram,KernelPCA,correlation,centroid
11990,0.201816189995292,20,Histogram,SymSNE,cityblock,average
11991,0.201774258673366,10,Histogram,SNE,mahalanobis,centroid
11992,0.201769619026977,2,Polygon,LDA,mahalanobis,single
11993,0.201741815799775,20,Histogram,KernelPCA,spearman,median
11994,0.20166896320873,2,Polygon,MCML,correlation,ward
11995,0.201648562278819,2,Histogram,KernelPCA,cosine,single
11996,0.201640309427728,10,Polygon,SymSNE,seuclidean,average
11997,0.201624896343968,5,Polygon,KernelPCA,squaredeuclidean,ward
11998,0.201517731467612,20,Polygon,SymSNE,spearman,median
11999,0.201501158593583,20,Histogram,SymSNE,spearman,centroid
12000,0.201438201185325,20,Polygon,LPP,chebychev,single
12001,0.201261072309749,10,Histogram,KernelPCA,chebychev,ward
12002,0.201165414859553,2,Polygon,DiffusionMaps,correlation,median
12003,0.201055576344341,2,Polygon,ManifoldChart,euclidean,single
12004,0.201055576344341,2,Polygon,ManifoldChart,squaredeuclidean,single
12005,0.201055576344341,2,Polygon,ManifoldChart,seuclidean,single
12006,0.201055576344341,2,Polygon,ManifoldChart,cityblock,single
12007,0.201055576344341,2,Polygon,ManifoldChart,minkowski,single
12008,0.201055576344341,2,Polygon,ManifoldChart,chebychev,single
12009,0.201055576344341,2,Polygon,ManifoldChart,mahalanobis,single
12010,0.201015299750155,2,Polygon,FactorAnalysis,correlation,centroid
12011,0.20098407935355,20,Histogram,SymSNE,seuclidean,average
12012,0.200887250296245,20,Polygon,LLC,chebychev,single
12013,0.20087164184026,20,Polygon,PCA,mahalanobis,single
12014,0.20087164184026,20,Polygon,MDS,mahalanobis,single
12015,0.20087164184026,20,Polygon,GPLVM,mahalanobis,single
12016,0.200808719184819,2,Histogram,KernelPCA,squaredeuclidean,weighted
12017,0.200789062396056,20,Histogram,Sammon,seuclidean,centroid
12018,0.200635691129756,20,Polygon,LPP,cityblock,single
12019,0.200568871850262,20,Polygon,DiffusionMaps,correlation,single
12020,0.200537077453783,5,Polygon,SymSNE,seuclidean,centroid
12021,0.200482918762388,10,Polygon,KernelPCA,correlation,median
12022,0.200423578887892,20,Polygon,ProbPCA,seuclidean,single
12023,0.200412760609384,20,Histogram,Sammon,euclidean,centroid
12024,0.200412760609384,20,Histogram,Sammon,minkowski,centroid
12025,0.200393889291189,20,Polygon,KernelPCA,euclidean,complete
12026,0.200393889291189,20,Polygon,KernelPCA,squaredeuclidean,complete
12027,0.200393889291189,20,Polygon,KernelPCA,minkowski,complete
12028,0.200383882008387,10,Polygon,LDA,seuclidean,single
12029,0.20037360825352,2,Polygon,LDA,correlation,ward
12030,0.2003512156906,20,Histogram,KernelPCA,cosine,centroid
12031,0.200315608495841,2,Histogram,KernelPCA,squaredeuclidean,average
12032,0.2000971903505,10,Polygon,MCML,spearman,single
12033,0.200095345909232,2,Polygon,ProbPCA,seuclidean,single
12034,0.200050612321673,2,Histogram,SPE,correlation,complete
12035,0.200013400583741,20,Histogram,PCA,correlation,single
12036,0.200013400583741,20,Histogram,MDS,correlation,single
12037,0.200013400583741,20,Histogram,GPLVM,correlation,single
12038,0.200003910412261,20,Polygon,KernelPCA,chebychev,ward
12039,0.199966357426112,20,Histogram,MCML,mahalanobis,median
12040,0.199848542272659,20,Polygon,ProbPCA,euclidean,single
12041,0.199848542272659,20,Polygon,ProbPCA,squaredeuclidean,single
12042,0.199848542272659,20,Polygon,ProbPCA,minkowski,single
12043,0.199822043997802,20,Polygon,ProbPCA,chebychev,single
12044,0.19967839711826,20,Polygon,SymSNE,seuclidean,weighted
12045,0.199661614168457,20,Polygon,SNE,chebychev,centroid
12046,0.199648044856205,5,Histogram,KernelPCA,cityblock,complete
12047,0.199604693573645,10,Histogram,MCML,mahalanobis,centroid
12048,0.199576835443094,2,Histogram,KernelPCA,mahalanobis,median
12049,0.199569342001918,20,Polygon,KernelPCA,seuclidean,complete
12050,0.19956001608634,20,Polygon,KernelPCA,correlation,average
12051,0.199520268127373,20,Polygon,SymSNE,mahalanobis,average
12052,0.199386557553297,20,Histogram,LandmarkIsomap,chebychev,single
12053,0.199383334841161,10,Polygon,KernelPCA,seuclidean,ward
12054,0.199209329799274,20,Histogram,DiffusionMaps,chebychev,single
12055,0.199174009377972,2,Histogram,KernelPCA,cityblock,weighted
12056,0.199164139788586,2,Histogram,KernelPCA,mahalanobis,weighted
12057,0.199155136403533,20,Polygon,NPE,mahalanobis,single
12058,0.199140833148341,20,Polygon,MCML,correlation,single
12059,0.199108743597546,10,Histogram,ProbPCA,cosine,single
12060,0.198957584978498,10,Polygon,SymSNE,squaredeuclidean,median
12061,0.198942986887587,2,Polygon,LandmarkIsomap,correlation,centroid
12062,0.19890601601944,2,Histogram,SPE,correlation,median
12063,0.198830274159261,20,Polygon,SymSNE,chebychev,weighted
12064,0.198665393162373,5,Polygon,SNE,euclidean,single
12065,0.198665393162373,5,Polygon,SNE,squaredeuclidean,single
12066,0.198665393162373,5,Polygon,SNE,minkowski,single
12067,0.198625904156613,2,Histogram,Sammon,euclidean,single
12068,0.198625904156613,2,Histogram,Sammon,squaredeuclidean,single
12069,0.198625904156613,2,Histogram,Sammon,seuclidean,single
12070,0.198625904156613,2,Histogram,Sammon,minkowski,single
12071,0.198532328810204,5,Polygon,KernelPCA,chebychev,complete
12072,0.198518976952419,2,Histogram,KernelPCA,seuclidean,average
12073,0.198426086722443,20,Histogram,DiffusionMaps,mahalanobis,single
12074,0.198387601372757,20,Histogram,DiffusionMaps,cosine,single
12075,0.198356526861439,5,Polygon,KernelPCA,cityblock,average
12076,0.198222818774809,2,Histogram,GDA,euclidean,ward
12077,0.198222818774809,5,Histogram,GDA,euclidean,ward
12078,0.198222818774809,10,Histogram,GDA,euclidean,ward
12079,0.198222818774809,20,Histogram,GDA,euclidean,ward
12080,0.198222818774809,2,Histogram,GDA,seuclidean,ward
12081,0.198222818774809,5,Histogram,GDA,seuclidean,ward
12082,0.198222818774809,10,Histogram,GDA,seuclidean,ward
12083,0.198222818774809,20,Histogram,GDA,seuclidean,ward
12084,0.198222818774809,2,Histogram,GDA,cityblock,ward
12085,0.198222818774809,5,Histogram,GDA,cityblock,ward
12086,0.198222818774809,10,Histogram,GDA,cityblock,ward
12087,0.198222818774809,20,Histogram,GDA,cityblock,ward
12088,0.198222818774809,2,Histogram,GDA,minkowski,ward
12089,0.198222818774809,5,Histogram,GDA,minkowski,ward
12090,0.198222818774809,10,Histogram,GDA,minkowski,ward
12091,0.198222818774809,20,Histogram,GDA,minkowski,ward
12092,0.198222818774809,2,Histogram,GDA,chebychev,ward
12093,0.198222818774809,5,Histogram,GDA,chebychev,ward
12094,0.198222818774809,10,Histogram,GDA,chebychev,ward
12095,0.198222818774809,20,Histogram,GDA,chebychev,ward
12096,0.198222818774809,2,Histogram,GDA,mahalanobis,ward
12097,0.198222818774809,5,Histogram,GDA,mahalanobis,ward
12098,0.198222818774809,10,Histogram,GDA,mahalanobis,ward
12099,0.198222818774809,20,Histogram,GDA,mahalanobis,ward
12100,0.198217810130621,2,Polygon,ProbPCA,euclidean,single
12101,0.198217810130621,2,Polygon,ProbPCA,squaredeuclidean,single
12102,0.198217810130621,2,Polygon,ProbPCA,minkowski,single
12103,0.198181515786055,5,Histogram,SPE,cosine,single
12104,0.198172724451881,10,Histogram,SymSNE,chebychev,weighted
12105,0.198096825201947,10,Histogram,LandmarkIsomap,cosine,single
12106,0.198042636344612,5,Polygon,LDA,mahalanobis,single
12107,0.198020956405637,5,Histogram,Isomap,cosine,single
12108,0.197938856343128,2,Histogram,KernelPCA,chebychev,complete
12109,0.197792224894753,10,Polygon,LDA,chebychev,single
12110,0.197786742851307,2,Histogram,KernelPCA,chebychev,weighted
12111,0.197784489603837,10,Histogram,KernelPCA,mahalanobis,ward
